x1,x2,y
218.2793934911902,282.04767277090764,1
200.49613039783497,281.6192232234803,1
192.17499093215707,284.8764525573913,1
206.4331271949905,268.97253784325403,1
184.58608437274097,259.8924438891529,1
195.52268252786794,278.6670971988244,1
198.78674604763384,277.743528674776,1
189.44238410551577,258.2887676748482,1
193.09526548964502,267.6586496601063,1
192.55437677578456,245.39280314343918,1
193.33560074189177,249.04797367106025,1
193.75583048677848,221.7561410242775,1
189.81444631171493,228.56753342173135,1
198.05666132586774,206.54040458284794,1
189.44454773154297,214.14901071008026,1
187.50238210206942,191.86499791603046,1
194.61466843801784,193.9557615561487,1
201.38258392785497,188.10675879974215,1
211.92759046943206,187.56898154525092,1
211.9151175854826,201.82314462903895,1
222.75431775104582,206.89902578693798,1
234.64279668052725,203.26616917566332,1
227.6832875856276,235.35958275688853,1
246.72928927455598,246.61631410397717,1
261.1693355691233,255.58732389124395,1
256.0828317657402,272.5776191047188,1
239.2735813203746,273.4306732176962,1
233.35782717165435,280.80746603177454,1
242.5107200549487,287.2436974795309,1
216.85246246659474,275.04950997175484,1
199.11323843550758,271.59113305457913,1
183.68237995024788,251.16498397523378,1
169.2452365926802,260.2441066076852,1
184.29191548721514,247.26471815918012,1
165.57528831900817,229.5931677972666,1
188.55071693493647,218.80263216259254,1
192.1652600697429,207.57932263596118,1
178.29619555628256,204.3337808629665,1
200.02590909836238,205.7263374808315,1
206.27219750750388,204.45785780696096,1
186.2202284605504,199.53733286460243,1
189.15250594978295,215.62579757898806,1
197.57692406135675,242.9037444382431,1
190.90457713604272,280.9191480990908,1
203.1368880587127,314.4441261456583,1
205.8142668266667,320.7371234911476,1
133.46856352049903,259.4988464234751,1
132.4572798504501,283.05435560908387,1
143.41999343807646,265.76295869882324,1
172.89662598336952,250.8263776057578,1
138.09966231133785,247.181320800344,1
183.08597230866172,225.76861207431764,1
182.2000844397212,235.50887503650665,1
195.57477369456157,225.09480025434272,1
190.69992129905086,189.49328044299835,1
182.36836894021235,212.50013861282653,1
208.02222053008865,244.06201481038892,1
188.10640568618257,234.29326653584144,1
186.01157261131664,269.24234585459965,1
205.55087815813624,277.0864813903593,1
208.4416161921243,306.63915317217106,1
177.3942885525463,310.70945601575124,1
187.44089332524922,289.0948342990963,1
199.0329059329993,292.053127677784,1
153.2883156544333,277.0347651255246,1
152.2141079619149,261.84129987563483,1
132.67562612193112,223.10613810801118,1
134.11344697774175,230.95445635782843,1
149.96522771629904,191.65794458294795,1
156.82429936771337,186.68448979118273,1
128.04829210420593,175.91206521369645,1
146.86707094417278,185.45523106154124,1
201.80146300477654,159.5100708419862,1
204.74440478029766,148.5866263812425,1
224.78279939575742,176.86309522839696,1
260.4530563674556,189.87156059201305,1
248.4285382632124,189.89784549640314,1
284.4025123216594,235.25095079167605,1
262.3301880897812,267.21917905331526,1
236.67118716272654,284.4891615670264,1
241.71525271183214,316.42142901036357,1
183.78803845615946,345.88815314539363,1
165.35131049053197,347.3160532090802,1
115.95088739134113,321.76021560127134,1
112.41886967678883,285.79380415550264,1
75.82852149370389,248.23248297333652,1
84.74154721551594,238.06060118401476,1
74.57616963784253,220.70350808076412,1
116.94785712194641,205.7927046127868,1
119.61614565235833,192.5993084021,1
158.81214510453103,174.885754209922,1
202.60064634120332,186.97372271971324,1
259.5236087437225,197.97696973962675,1
265.56369524258736,208.09813271881177,1
249.42492446835536,240.8405317537123,1
264.48510817340747,280.34416216949114,1
247.59676761075107,293.3421130078266,1
228.32347667512136,300.9101466414543,1
227.35421096140578,356.8896059912787,1
228.21797192992437,385.80414284081115,1
205.37014770591128,409.3157213953633,1
167.5946755792944,400.07834375875956,1
135.8570989710231,371.7700432130843,1
132.02556240864703,331.89725609910533,1
140.70500630989633,289.6601544854269,1
118.3116508924378,229.82346735803546,1
135.72926903638043,220.61330805228934,1
173.1010820171194,155.13333593360272,1
176.7555729287413,146.98526800959513,1
229.7161355495949,167.51871862345428,1
254.05881277964647,172.87567271527968,1
254.80584264528773,175.14104066033283,1
242.73638059510523,244.07898430722096,1
265.72547170385593,281.3309787528009,1
295.81842142355725,325.17158622047066,1
273.2476552972133,329.66985052042037,1
251.39709368774587,346.89602102083114,1
264.0538516057071,310.148032612373,1
266.4403468893263,328.4362847105019,1
264.13473402592,292.75315726859634,1
216.45106054496503,235.5087930972582,1
200.70017602547034,170.8752101176254,1
191.16831745538653,132.3206583515796,1
203.21715890187917,113.7304435210346,1
219.01185021188684,104.10802579455185,1
174.71320323916598,113.37536529899381,1
207.7198512613374,119.46048275087998,1
191.64078764959473,125.18212133227968,1
210.37624750441225,136.25769906931083,1
198.62461964259907,148.26618133511937,1
198.62789998120417,173.80545703499396,1
217.39625416988665,203.78051992915172,1
229.72232378369912,277.219833914726,1
210.79664955276158,286.6938214251304,1
200.52347643564804,290.03518310377586,1
200.70663443420054,284.5760211991113,1
194.42685986390188,281.7655640668372,1
207.55166546868517,289.0391632969768,1
190.78740877348739,281.4416042082621,1
180.33264674290876,238.71437672668614,1
175.88775703086833,218.48452089349445,1
196.6823589598593,249.2072757139145,1
207.38432029006015,209.80514600186294,1
172.6050696493203,231.5052144532434,1
202.15877996781813,204.84702195908523,1
181.71816807242132,233.18218351263738,1
174.97106404516865,104.26380545576643,1
191.994234034424,95.44339741631796,1
183.6676856923211,95.85767558715867,1
191.41311050919347,92.55422132217541,1
194.50515315344794,106.88417338402684,1
190.14292727532109,98.42738389170961,1
209.18412389570278,130.78700998044155,1
222.0740903819322,134.45824183505266,1
214.49119587901325,99.22807864052766,1
225.6835233856223,115.84902462193105,1
236.6105214749488,143.8023365663617,1
244.08652783931865,152.79117237785562,1
211.37495751681993,149.74539841674627,1
223.43037937926348,204.27007603560676,1
211.53943411314995,192.371675687555,1
217.76312837246257,212.74618879144586,1
185.27640164785961,245.90523276863513,1
216.8359800992759,207.07766116564468,1
218.97165765895605,202.80568946416776,1
203.93598495182695,213.0179472730599,1
218.35611213758105,216.21701369188833,1
